"Year","State","State_ab","Population"
1957,"Michigan            ","MI",7569000
1957,"Minnesota           ","MN",3274000
1957,"Mississippi         ","MS",2088000
1957,"Missouri            ","MO",4189000
1957,"Montana             ","MT",667000
1957,"Nebraska            ","NE",1394000
1957,"Nevada              ","NV",260000
1957,"New Hampshire       ","NH",572000
1957,"New Jersey          ","NJ",5737000
1957,"New Mexico          ","NM",847000
1957,"New York            ","NY",16374001
1957,"North Carolina      ","NC",4368000
1957,"North Dakota        ","ND",612000
1957,"Ohio                ","OH",9410000
1957,"Oklahoma            ","OK",2282000
1957,"Oregon              ","OR",1712000
1957,"Pennsylvania        ","PA",10954000
1957,"Rhode Island        ","RI",851000
1957,"South Carolina      ","SC",2274000
1957,"South Dakota        ","SD",666000
1957,"Tennessee           ","TN",3434000
1957,"Texas               ","TX",9070000
1957,"Utah                ","UT",826000
1957,"Vermont             ","VT",376000
1957,"Virginia            ","VA",3844000
1957,"Washington          ","WA",2724000
1957,"West Virginia       ","WV",1843000
1957,"Wisconsin           ","WI",3791000
1957,"Wyoming             ","WY",314000
1958,"Alabama             ","AL",3163000
1958,"Alaska              ","AK",224000
1958,"Arizona             ","AZ",1193000
1958,"Arkansas            ","AR",1726000
1958,"California          ","CA",14880000
1958,"Colorado            ","CO",1667000
1958,"Connecticut         ","CT",2446000
1958,"Delaware            ","DE",433000
1958,"Florida             ","FL",4630000
1958,"Georgia             ","GA",3804000
1958,"Hawaii              ","HI",605000
1958,"Idaho               ","ID",646000
1958,"Illinois            ","IL",9886000
1958,"Indiana             ","IN",4583000
1958,"Iowa                ","IA",2708000
1958,"Kansas              ","KS",2142000
1958,"Kentucky            ","KY",2961000
1958,"Louisiana           ","LA",3155000
1958,"Maine               ","ME",944000
1958,"Maryland            ","MD",2982000
1958,"Massachusetts       ","MA",5010000
1958,"Michigan            ","MI",7667000
1958,"Minnesota           ","MN",3313000
1958,"Mississippi         ","MS",2086000
1958,"Missouri            ","MO",4186000
1958,"Montana             ","MT",666000
1958,"Nebraska            ","NE",1383000
1958,"Nevada              ","NV",269000
1958,"New Hampshire       ","NH",581000
1958,"New Jersey          ","NJ",5890000
1958,"New Mexico          ","NM",886000
1958,"New York            ","NY",16601000
