"name","state","party","year"
"Lyndon B. Johnson","Texas","Democratic","1960"
"Lyndon B. Johnson","Texas","Democratic","1961"
"J. Bennett Johnston","Louisiana","Democratic","1972"
"J. Bennett Johnston","Louisiana","Democratic","1973"
"J. Bennett Johnston","Louisiana","Democratic","1974"
"J. Bennett Johnston","Louisiana","Democratic","1975"
"J. Bennett Johnston","Louisiana","Democratic","1976"
"J. Bennett Johnston","Louisiana","Democratic","1977"
"J. Bennett Johnston","Louisiana","Democratic","1978"
"J. Bennett Johnston","Louisiana","Democratic","1979"
"J. Bennett Johnston","Louisiana","Democratic","1980"
"J. Bennett Johnston","Louisiana","Democratic","1981"
"J. Bennett Johnston","Louisiana","Democratic","1982"
"J. Bennett Johnston","Louisiana","Democratic","1983"
"J. Bennett Johnston","Louisiana","Democratic","1984"
"J. Bennett Johnston","Louisiana","Democratic","1985"
"Olin D. Johnston","South Carolina","Democratic","1945"
"Olin D. Johnston","South Carolina","Democratic","1946"
"Olin D. Johnston","South Carolina","Democratic","1947"
"Olin D. Johnston","South Carolina","Democratic","1948"
"Olin D. Johnston","South Carolina","Democratic","1949"
"Olin D. Johnston","South Carolina","Democratic","1950"
"Olin D. Johnston","South Carolina","Democratic","1951"
"Olin D. Johnston","South Carolina","Democratic","1952"
"Olin D. Johnston","South Carolina","Democratic","1953"
"Olin D. Johnston","South Carolina","Democratic","1954"
"Olin D. Johnston","South Carolina","Democratic","1955"
"Olin D. Johnston","South Carolina","Democratic","1956"
"Olin D. Johnston","South Carolina","Democratic","1957"
"Olin D. Johnston","South Carolina","Democratic","1958"
"Olin D. Johnston","South Carolina","Democratic","1959"
"Olin D. Johnston","South Carolina","Democratic","1960"
"Olin D. Johnston","South Carolina","Democratic","1961"
"Olin D. Johnston","South Carolina","Democratic","1962"
"Olin D. Johnston","South Carolina","Democratic","1963"
"Olin D. Johnston","South Carolina","Democratic","1964"
"Olin D. Johnston","South Carolina","Democratic","1965"
"B. Everett Jordan","North Carolina","Democratic","1958"
"B. Everett Jordan","North Carolina","Democratic","1959"
"B. Everett Jordan","North Carolina","Democratic","1960"
"B. Everett Jordan","North Carolina","Democratic","1961"
"B. Everett Jordan","North Carolina","Democratic","1962"
"B. Everett Jordan","North Carolina","Democratic","1963"
"B. Everett Jordan","North Carolina","Democratic","1964"
"B. Everett Jordan","North Carolina","Democratic","1965"
"B. Everett Jordan","North Carolina","Democratic","1966"
"B. Everett Jordan","North Carolina","Democratic","1967"
"B. Everett Jordan","North Carolina","Democratic","1968"
"B. Everett Jordan","North Carolina","Democratic","1969"
"B. Everett Jordan","North Carolina","Democratic","1970"
"B. Everett Jordan","North Carolina","Democratic","1971"
"B. Everett Jordan","North Carolina","Democratic","1972"
"B. Everett Jordan","North Carolina","Democratic","1973"
"Leonard B. Jordan","Idaho","Republican","1962"
"Leonard B. Jordan","Idaho","Republican","1963"
"Leonard B. Jordan","Idaho","Republican","1964"
"Leonard B. Jordan","Idaho","Republican","1965"
"Leonard B. Jordan","Idaho","Republican","1966"
"Leonard B. Jordan","Idaho","Republican","1967"
"Leonard B. Jordan","Idaho","Republican","1968"
"Leonard B. Jordan","Idaho","Republican","1969"
"Leonard B. Jordan","Idaho","Republican","1970"
"Leonard B. Jordan","Idaho","Republican","1971"
"Leonard B. Jordan","Idaho","Republican","1972"
"Leonard B. Jordan","Idaho","Republican","1973"
"Nancy Kassebaum","Kansas","Republican","1979"
"Nancy Kassebaum","Kansas","Republican","1980"
"Nancy Kassebaum","Kansas","Republican","1981"
"Nancy Kassebaum","Kansas","Republican","1982"
"Nancy Kassebaum","Kansas","Republican","1983"
"Nancy Kassebaum","Kansas","Republican","1984"
"Nancy Kassebaum","Kansas","Republican","1985"
"Bob Kasten","Wisconsin","Republican","1981"
"Bob Kasten","Wisconsin","Republican","1982"
"Bob Kasten","Wisconsin","Republican","1983"
"Bob Kasten","Wisconsin","Republican","1984"
"Bob Kasten","Wisconsin","Republican","1985"
"Kenneth Keating","New York","Republican","1959"
"Kenneth Keating","New York","Republican","1960"
"Kenneth Keating","New York","Republican","1961"
"Kenneth Keating","New York","Republican","1962"
"Kenneth Keating","New York","Republican","1963"
"Kenneth Keating","New York","Republican","1964"
"Kenneth Keating","New York","Republican","1965"
"Estes Kefauver","Tennessee","Democratic","1949"
"Estes Kefauver","Tennessee","Democratic","1950"
"Estes Kefauver","Tennessee","Democratic","1951"
"Estes Kefauver","Tennessee","Democratic","1952"
"Estes Kefauver","Tennessee","Democratic","1953"
"Estes Kefauver","Tennessee","Democratic","1954"
"Estes Kefauver","Tennessee","Democratic","1955"
"Estes Kefauver","Tennessee","Democratic","1956"
"Estes Kefauver","Tennessee","Democratic","1957"
"Estes Kefauver","Tennessee","Democratic","1958"
"Estes Kefauver","Tennessee","Democratic","1959"
"Estes Kefauver","Tennessee","Democratic","1960"
"Estes Kefauver","Tennessee","Democratic","1961"
"Estes Kefauver","Tennessee","Democratic","1962"
"Estes Kefauver","Tennessee","Democratic","1963"
"James P. Kem","Missouri","Republican","1947"
"James P. Kem","Missouri","Republican","1948"
"James P. Kem","Missouri","Republican","1949"
"James P. Kem","Missouri","Republican","1950"
"James P. Kem","Missouri","Republican","1951"
"James P. Kem","Missouri","Republican","1952"
"James P. Kem","Missouri","Republican","1953"
"John F. Kennedy","Massachusetts","Democratic","1953"
"John F. Kennedy","Massachusetts","Democratic","1954"
"John F. Kennedy","Massachusetts","Democratic","1955"
"John F. Kennedy","Massachusetts","Democratic","1956"
"John F. Kennedy","Massachusetts","Democratic","1957"
"John F. Kennedy","Massachusetts","Democratic","1958"
"John F. Kennedy","Massachusetts","Democratic","1959"
"John F. Kennedy","Massachusetts","Democratic","1960"
"Robert F. Kennedy","New York","Democratic","1965"
"Robert F. Kennedy","New York","Democratic","1966"
"Robert F. Kennedy","New York","Democratic","1967"
"Robert F. Kennedy","New York","Democratic","1968"
"Ted Kennedy","Massachusetts","Democratic","1962"
"Ted Kennedy","Massachusetts","Democratic","1963"
"Ted Kennedy","Massachusetts","Democratic","1964"
"Ted Kennedy","Massachusetts","Democratic","1965"
"Ted Kennedy","Massachusetts","Democratic","1966"
"Ted Kennedy","Massachusetts","Democratic","1967"
"Ted Kennedy","Massachusetts","Democratic","1968"
"Ted Kennedy","Massachusetts","Democratic","1969"
"Ted Kennedy","Massachusetts","Democratic","1970"
"Ted Kennedy","Massachusetts","Democratic","1971"
"Ted Kennedy","Massachusetts","Democratic","1972"
"Ted Kennedy","Massachusetts","Democratic","1973"
"Ted Kennedy","Massachusetts","Democratic","1974"
"Ted Kennedy","Massachusetts","Democratic","1975"
"Ted Kennedy","Massachusetts","Democratic","1976"
"Ted Kennedy","Massachusetts","Democratic","1977"
"Ted Kennedy","Massachusetts","Democratic","1978"
"Ted Kennedy","Massachusetts","Democratic","1979"
"Ted Kennedy","Massachusetts","Democratic","1980"
"Ted Kennedy","Massachusetts","Democratic","1981"
"Ted Kennedy","Massachusetts","Democratic","1982"
"Ted Kennedy","Massachusetts","Democratic","1983"
"Ted Kennedy","Massachusetts","Democratic","1984"
"Ted Kennedy","Massachusetts","Democratic","1985"
"Robert S. Kerr","Oklahoma","Democratic","1949"
"Robert S. Kerr","Oklahoma","Democratic","1950"
"Robert S. Kerr","Oklahoma","Democratic","1951"
"Robert S. Kerr","Oklahoma","Democratic","1952"
"Robert S. Kerr","Oklahoma","Democratic","1953"
"Robert S. Kerr","Oklahoma","Democratic","1954"
"Robert S. Kerr","Oklahoma","Democratic","1955"
"Robert S. Kerr","Oklahoma","Democratic","1956"
"Robert S. Kerr","Oklahoma","Democratic","1957"
"Robert S. Kerr","Oklahoma","Democratic","1958"
"Robert S. Kerr","Oklahoma","Democratic","1959"
"Robert S. Kerr","Oklahoma","Democratic","1960"
"Robert S. Kerr","Oklahoma","Democratic","1961"
"Robert S. Kerr","Oklahoma","Democratic","1962"
"Robert S. Kerr","Oklahoma","Democratic","1963"
"John Kerry","Massachusetts","Democratic","1985"
"Harley M. Kilgore","West Virginia","Democratic","1945"
"Harley M. Kilgore","West Virginia","Democratic","1946"
"Harley M. Kilgore","West Virginia","Democratic","1947"
"Harley M. Kilgore","West Virginia","Democratic","1948"
"Harley M. Kilgore","West Virginia","Democratic","1949"
"Harley M. Kilgore","West Virginia","Democratic","1950"
"Harley M. Kilgore","West Virginia","Democratic","1951"
"Harley M. Kilgore","West Virginia","Democratic","1952"
"Harley M. Kilgore","West Virginia","Democratic","1953"
"Harley M. Kilgore","West Virginia","Democratic","1954"
"Harley M. Kilgore","West Virginia","Democratic","1955"
"Harley M. Kilgore","West Virginia","Democratic","1956"
"William F. Knowland","California","Republican","1945"
"William F. Knowland","California","Republican","1946"
"William F. Knowland","California","Republican","1947"
"William F. Knowland","California","Republican","1948"
"William F. Knowland","California","Republican","1949"
"William F. Knowland","California","Republican","1950"
"William F. Knowland","California","Republican","1951"
"William F. Knowland","California","Republican","1952"
"William F. Knowland","California","Republican","1953"
"William F. Knowland","California","Republican","1954"
"William F. Knowland","California","Republican","1955"
"William F. Knowland","California","Republican","1956"
"William F. Knowland","California","Republican","1957"
"William F. Knowland","California","Republican","1958"
"William F. Knowland","California","Republican","1959"
"Tom Kuchel","California","Republican","1953"
"Tom Kuchel","California","Republican","1954"
"Tom Kuchel","California","Republican","1955"
"Tom Kuchel","California","Republican","1956"
"Tom Kuchel","California","Republican","1957"
"Tom Kuchel","California","Republican","1958"
"Tom Kuchel","California","Republican","1959"
"Tom Kuchel","California","Republican","1960"
"Tom Kuchel","California","Republican","1961"
"Tom Kuchel","California","Republican","1962"
"Tom Kuchel","California","Republican","1963"
"Tom Kuchel","California","Republican","1964"
"Tom Kuchel","California","Republican","1965"
"Tom Kuchel","California","Republican","1966"
"Tom Kuchel","California","Republican","1967"
"Tom Kuchel","California","Republican","1968"
"Tom Kuchel","California","Republican","1969"
"Robert M. La Follette Jr.","Wisconsin","Republican","1945"
"Robert M. La Follette Jr.","Wisconsin","Republican","1946"
"Robert M. La Follette Jr.","Wisconsin","Republican","1947"
"William R. Laird, III","West Virginia","Democratic","1956"
"William Langer","North Dakota","Republican","1945"
"William Langer","North Dakota","Republican","1946"
"William Langer","North Dakota","Republican","1947"
"William Langer","North Dakota","Republican","1948"
"William Langer","North Dakota","Republican","1949"
"William Langer","North Dakota","Republican","1950"
"William Langer","North Dakota","Republican","1951"
"William Langer","North Dakota","Republican","1952"
"William Langer","North Dakota","Republican","1953"
"William Langer","North Dakota","Republican","1954"
"William Langer","North Dakota","Republican","1955"
"William Langer","North Dakota","Republican","1956"
"William Langer","North Dakota","Republican","1957"
"William Langer","North Dakota","Republican","1958"
"William Langer","North Dakota","Republican","1959"
"Frank J. Lausche","Ohio","Democratic","1957"
"Frank J. Lausche","Ohio","Democratic","1958"
"Frank J. Lausche","Ohio","Democratic","1959"
"Frank J. Lausche","Ohio","Democratic","1960"
"Frank J. Lausche","Ohio","Democratic","1961"
"Frank J. Lausche","Ohio","Democratic","1962"
"Frank J. Lausche","Ohio","Democratic","1963"
"Frank J. Lausche","Ohio","Democratic","1964"
"Frank J. Lausche","Ohio","Democratic","1965"
"Frank J. Lausche","Ohio","Democratic","1966"
"Frank J. Lausche","Ohio","Democratic","1967"
"Frank J. Lausche","Ohio","Democratic","1968"
"Frank J. Lausche","Ohio","Democratic","1969"
"Frank Lautenberg","New Jersey","Democratic","1982"
"Frank Lautenberg","New Jersey","Democratic","1983"
"Frank Lautenberg","New Jersey","Democratic","1984"
"Frank Lautenberg","New Jersey","Democratic","1985"
"Paul Laxalt","Nevada","Republican","1974"
"Paul Laxalt","Nevada","Republican","1975"
"Paul Laxalt","Nevada","Republican","1976"
"Paul Laxalt","Nevada","Republican","1977"
"Paul Laxalt","Nevada","Republican","1978"
"Paul Laxalt","Nevada","Republican","1979"
"Paul Laxalt","Nevada","Republican","1980"
"Paul Laxalt","Nevada","Republican","1981"
"Paul Laxalt","Nevada","Republican","1982"
"Paul Laxalt","Nevada","Republican","1983"
"Paul Laxalt","Nevada","Republican","1984"
"Paul Laxalt","Nevada","Republican","1985"
"Edward L. Leahy","Rhode Island","Democratic","1949"
"Edward L. Leahy","Rhode Island","Democratic","1950"
"Patrick Leahy","Vermont","Democratic","1975"
"Patrick Leahy","Vermont","Democratic","1976"
"Patrick Leahy","Vermont","Democratic","1977"
"Patrick Leahy","Vermont","Democratic","1978"
"Patrick Leahy","Vermont","Democratic","1979"
"Patrick Leahy","Vermont","Democratic","1980"
"Patrick Leahy","Vermont","Democratic","1981"
"Patrick Leahy","Vermont","Democratic","1982"
"Patrick Leahy","Vermont","Democratic","1983"
"Patrick Leahy","Vermont","Democratic","1984"
"Patrick Leahy","Vermont","Democratic","1985"
"Herbert H. Lehman","New York","Democratic","1950"
"Herbert H. Lehman","New York","Democratic","1951"
"Herbert H. Lehman","New York","Democratic","1952"
"Herbert H. Lehman","New York","Democratic","1953"
"Herbert H. Lehman","New York","Democratic","1954"
"Herbert H. Lehman","New York","Democratic","1955"
"Herbert H. Lehman","New York","Democratic","1956"
"Herbert H. Lehman","New York","Democratic","1957"
"Alton Asa Lennon","North Carolina","Democratic","1953"
"Alton Asa Lennon","North Carolina","Democratic","1954"
"Carl Levin","Michigan","Democratic","1979"
"Carl Levin","Michigan","Democratic","1980"
"Carl Levin","Michigan","Democratic","1981"
"Carl Levin","Michigan","Democratic","1982"
"Carl Levin","Michigan","Democratic","1983"
"Carl Levin","Michigan","Democratic","1984"
"Carl Levin","Michigan","Democratic","1985"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1947"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1948"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1949"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1950"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1951"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1952"
"Henry Cabot Lodge Jr.","Massachusetts","Republican","1953"
"Edward V. Long","Missouri","Democratic","1960"
"Edward V. Long","Missouri","Democratic","1961"
"Edward V. Long","Missouri","Democratic","1962"
"Edward V. Long","Missouri","Democratic","1963"
"Edward V. Long","Missouri","Democratic","1964"
"Edward V. Long","Missouri","Democratic","1965"
"Edward V. Long","Missouri","Democratic","1966"
"Edward V. Long","Missouri","Democratic","1967"
"Edward V. Long","Missouri","Democratic","1968"
"Oren E. Long","Hawaii","Democratic","1959"
"Oren E. Long","Hawaii","Democratic","1960"
"Oren E. Long","Hawaii","Democratic","1961"
"Oren E. Long","Hawaii","Democratic","1962"
"Oren E. Long","Hawaii","Democratic","1963"
"Russell B. Long","Louisiana","Democratic","1948"
"Russell B. Long","Louisiana","Democratic","1949"
"Russell B. Long","Louisiana","Democratic","1950"
"Russell B. Long","Louisiana","Democratic","1951"
"Russell B. Long","Louisiana","Democratic","1952"
"Russell B. Long","Louisiana","Democratic","1953"
"Russell B. Long","Louisiana","Democratic","1954"
"Russell B. Long","Louisiana","Democratic","1955"
"Russell B. Long","Louisiana","Democratic","1956"
"Russell B. Long","Louisiana","Democratic","1957"
"Russell B. Long","Louisiana","Democratic","1958"
"Russell B. Long","Louisiana","Democratic","1959"
"Russell B. Long","Louisiana","Democratic","1960"
"Russell B. Long","Louisiana","Democratic","1961"
"Russell B. Long","Louisiana","Democratic","1962"
"Russell B. Long","Louisiana","Democratic","1963"
"Russell B. Long","Louisiana","Democratic","1964"
"Russell B. Long","Louisiana","Democratic","1965"
"Russell B. Long","Louisiana","Democratic","1966"
"Russell B. Long","Louisiana","Democratic","1967"
"Russell B. Long","Louisiana","Democratic","1968"
"Russell B. Long","Louisiana","Democratic","1969"
"Russell B. Long","Louisiana","Democratic","1970"
"Russell B. Long","Louisiana","Democratic","1971"
"Russell B. Long","Louisiana","Democratic","1972"
"Russell B. Long","Louisiana","Democratic","1973"
"Russell B. Long","Louisiana","Democratic","1974"
"Russell B. Long","Louisiana","Democratic","1975"
"Russell B. Long","Louisiana","Democratic","1976"
"Russell B. Long","Louisiana","Democratic","1977"
"Russell B. Long","Louisiana","Democratic","1978"
"Russell B. Long","Louisiana","Democratic","1979"
"Russell B. Long","Louisiana","Democratic","1980"
"Russell B. Long","Louisiana","Democratic","1981"
"Russell B. Long","Louisiana","Democratic","1982"
"Russell B. Long","Louisiana","Democratic","1983"
"Russell B. Long","Louisiana","Democratic","1984"
"Russell B. Long","Louisiana","Democratic","1985"
"Scott W. Lucas","Illinois","Democratic","1945"
"Scott W. Lucas","Illinois","Democratic","1946"
"Scott W. Lucas","Illinois","Democratic","1947"
"Scott W. Lucas","Illinois","Democratic","1948"
"Scott W. Lucas","Illinois","Democratic","1949"
"Scott W. Lucas","Illinois","Democratic","1950"
"Scott W. Lucas","Illinois","Democratic","1951"
"Richard Lugar","Indiana","Republican","1977"
"Richard Lugar","Indiana","Republican","1978"
"Richard Lugar","Indiana","Republican","1979"
"Richard Lugar","Indiana","Republican","1980"
"Richard Lugar","Indiana","Republican","1981"
"Richard Lugar","Indiana","Republican","1982"
"Richard Lugar","Indiana","Republican","1983"
"Richard Lugar","Indiana","Republican","1984"
"Richard Lugar","Indiana","Republican","1985"
"Hall S. Lusk","Oregon","Democratic","1960"
"Warren G. Magnuson","Washington","Democratic","1945"
"Warren G. Magnuson","Washington","Democratic","1946"
"Warren G. Magnuson","Washington","Democratic","1947"
"Warren G. Magnuson","Washington","Democratic","1948"
"Warren G. Magnuson","Washington","Democratic","1949"
"Warren G. Magnuson","Washington","Democratic","1950"
"Warren G. Magnuson","Washington","Democratic","1951"
"Warren G. Magnuson","Washington","Democratic","1952"
"Warren G. Magnuson","Washington","Democratic","1953"
"Warren G. Magnuson","Washington","Democratic","1954"
"Warren G. Magnuson","Washington","Democratic","1955"
"Warren G. Magnuson","Washington","Democratic","1956"
"Warren G. Magnuson","Washington","Democratic","1957"
"Warren G. Magnuson","Washington","Democratic","1958"
"Warren G. Magnuson","Washington","Democratic","1959"
"Warren G. Magnuson","Washington","Democratic","1960"
"Warren G. Magnuson","Washington","Democratic","1961"
"Warren G. Magnuson","Washington","Democratic","1962"
"Warren G. Magnuson","Washington","Democratic","1963"
"Warren G. Magnuson","Washington","Democratic","1964"
"Warren G. Magnuson","Washington","Democratic","1965"
"Warren G. Magnuson","Washington","Democratic","1966"
"Warren G. Magnuson","Washington","Democratic","1967"
"Warren G. Magnuson","Washington","Democratic","1968"
"Warren G. Magnuson","Washington","Democratic","1969"
"Warren G. Magnuson","Washington","Democratic","1970"
"Warren G. Magnuson","Washington","Democratic","1971"
"Warren G. Magnuson","Washington","Democratic","1972"
"Warren G. Magnuson","Washington","Democratic","1973"
"Warren G. Magnuson","Washington","Democratic","1974"
"Warren G. Magnuson","Washington","Democratic","1975"
"Warren G. Magnuson","Washington","Democratic","1976"
"Warren G. Magnuson","Washington","Democratic","1977"
"Warren G. Magnuson","Washington","Democratic","1978"
"Warren G. Magnuson","Washington","Democratic","1979"
"Warren G. Magnuson","Washington","Democratic","1980"
"Warren G. Magnuson","Washington","Democratic","1981"
"George W. Malone","Nevada","Republican","1947"
"George W. Malone","Nevada","Republican","1948"
"George W. Malone","Nevada","Republican","1949"
"George W. Malone","Nevada","Republican","1950"
"George W. Malone","Nevada","Republican","1951"
"George W. Malone","Nevada","Republican","1952"
"George W. Malone","Nevada","Republican","1953"
"George W. Malone","Nevada","Republican","1954"
"George W. Malone","Nevada","Republican","1955"
"George W. Malone","Nevada","Republican","1956"
"George W. Malone","Nevada","Republican","1957"
"George W. Malone","Nevada","Republican","1958"
"George W. Malone","Nevada","Republican","1959"
"Francis T. Maloney","Connecticut","Democratic","1945"
"Mike Mansfield","Montana","Democratic","1953"
"Mike Mansfield","Montana","Democratic","1954"
"Mike Mansfield","Montana","Democratic","1955"
"Mike Mansfield","Montana","Democratic","1956"
"Mike Mansfield","Montana","Democratic","1957"
"Mike Mansfield","Montana","Democratic","1958"
"Mike Mansfield","Montana","Democratic","1959"
"Mike Mansfield","Montana","Democratic","1960"
"Mike Mansfield","Montana","Democratic","1961"
"Mike Mansfield","Montana","Democratic","1962"
"Mike Mansfield","Montana","Democratic","1963"
"Mike Mansfield","Montana","Democratic","1964"
"Mike Mansfield","Montana","Democratic","1965"
"Mike Mansfield","Montana","Democratic","1966"
"Mike Mansfield","Montana","Democratic","1967"
"Mike Mansfield","Montana","Democratic","1968"
"Mike Mansfield","Montana","Democratic","1969"
"Mike Mansfield","Montana","Democratic","1970"
"Mike Mansfield","Montana","Democratic","1971"
"Mike Mansfield","Montana","Democratic","1972"
"Mike Mansfield","Montana","Democratic","1973"
"Mike Mansfield","Montana","Democratic","1974"
"Mike Mansfield","Montana","Democratic","1975"
"Mike Mansfield","Montana","Democratic","1976"
"Mike Mansfield","Montana","Democratic","1977"
"Edward Martin","Pennsylvania","Republican","1947"
"Edward Martin","Pennsylvania","Republican","1948"
"Edward Martin","Pennsylvania","Republican","1949"
"Edward Martin","Pennsylvania","Republican","1950"
"Edward Martin","Pennsylvania","Republican","1951"
"Edward Martin","Pennsylvania","Republican","1952"
"Edward Martin","Pennsylvania","Republican","1953"
"Edward Martin","Pennsylvania","Republican","1954"
"Edward Martin","Pennsylvania","Republican","1955"
"Edward Martin","Pennsylvania","Republican","1956"
"Edward Martin","Pennsylvania","Republican","1957"
"Edward Martin","Pennsylvania","Republican","1958"
"Edward Martin","Pennsylvania","Republican","1959"
"Thomas E. Martin","Iowa","Republican","1955"
"Thomas E. Martin","Iowa","Republican","1956"
"Thomas E. Martin","Iowa","Republican","1957"
"Thomas E. Martin","Iowa","Republican","1958"
"Thomas E. Martin","Iowa","Republican","1959"
"Thomas E. Martin","Iowa","Republican","1960"
"Thomas E. Martin","Iowa","Republican","1961"
"Charles Mathias Jr.","Maryland","Republican","1969"
"Charles Mathias Jr.","Maryland","Republican","1970"
"Charles Mathias Jr.","Maryland","Republican","1971"
"Charles Mathias Jr.","Maryland","Republican","1972"
"Charles Mathias Jr.","Maryland","Republican","1973"
"Charles Mathias Jr.","Maryland","Republican","1974"
"Charles Mathias Jr.","Maryland","Republican","1975"
"Charles Mathias Jr.","Maryland","Republican","1976"
"Charles Mathias Jr.","Maryland","Republican","1977"
"Charles Mathias Jr.","Maryland","Republican","1978"
"Charles Mathias Jr.","Maryland","Republican","1979"
"Charles Mathias Jr.","Maryland","Republican","1980"
"Charles Mathias Jr.","Maryland","Republican","1981"
"Charles Mathias Jr.","Maryland","Republican","1982"
"Charles Mathias Jr.","Maryland","Republican","1983"
"Charles Mathias Jr.","Maryland","Republican","1984"
"Charles Mathias Jr.","Maryland","Republican","1985"
"Spark Matsunaga","Hawaii","Democratic","1977"
"Spark Matsunaga","Hawaii","Democratic","1978"
"Spark Matsunaga","Hawaii","Democratic","1979"
"Spark Matsunaga","Hawaii","Democratic","1980"
"Spark Matsunaga","Hawaii","Democratic","1981"
"Spark Matsunaga","Hawaii","Democratic","1982"
"Spark Matsunaga","Hawaii","Democratic","1983"
"Spark Matsunaga","Hawaii","Democratic","1984"
"Spark Matsunaga","Hawaii","Democratic","1985"
"Mack Mattingly","Georgia","Republican","1981"
"Mack Mattingly","Georgia","Republican","1982"
"Mack Mattingly","Georgia","Republican","1983"
"Mack Mattingly","Georgia","Republican","1984"
"Mack Mattingly","Georgia","Republican","1985"
"Burnet R. Maybank","South Carolina","Democratic","1945"
"Burnet R. Maybank","South Carolina","Democratic","1946"
"Burnet R. Maybank","South Carolina","Democratic","1947"
"Burnet R. Maybank","South Carolina","Democratic","1948"
"Burnet R. Maybank","South Carolina","Democratic","1949"
"Burnet R. Maybank","South Carolina","Democratic","1950"
"Burnet R. Maybank","South Carolina","Democratic","1951"
"Burnet R. Maybank","South Carolina","Democratic","1952"
"Burnet R. Maybank","South Carolina","Democratic","1953"
"Burnet R. Maybank","South Carolina","Democratic","1954"
"Pat McCarran","Nevada","Democratic","1945"
"Pat McCarran","Nevada","Democratic","1946"
"Pat McCarran","Nevada","Democratic","1947"
"Pat McCarran","Nevada","Democratic","1948"
"Pat McCarran","Nevada","Democratic","1949"
"Pat McCarran","Nevada","Democratic","1950"
"Pat McCarran","Nevada","Democratic","1951"
"Pat McCarran","Nevada","Democratic","1952"
"Pat McCarran","Nevada","Democratic","1953"
"Pat McCarran","Nevada","Democratic","1954"
"Eugene McCarthy","Minnesota","Democratic","1959"
"Eugene McCarthy","Minnesota","Democratic","1960"
"Eugene McCarthy","Minnesota","Democratic","1961"
"Eugene McCarthy","Minnesota","Democratic","1962"
"Eugene McCarthy","Minnesota","Democratic","1963"
"Eugene McCarthy","Minnesota","Democratic","1964"
"Eugene McCarthy","Minnesota","Democratic","1965"
"Eugene McCarthy","Minnesota","Democratic","1966"
"Eugene McCarthy","Minnesota","Democratic","1967"
"Eugene McCarthy","Minnesota","Democratic","1968"
"Eugene McCarthy","Minnesota","Democratic","1969"
"Eugene McCarthy","Minnesota","Democratic","1970"
"Eugene McCarthy","Minnesota","Democratic","1971"
"Joseph McCarthy","Wisconsin","Republican","1947"
"Joseph McCarthy","Wisconsin","Republican","1948"
"Joseph McCarthy","Wisconsin","Republican","1949"
"Joseph McCarthy","Wisconsin","Republican","1950"
"Joseph McCarthy","Wisconsin","Republican","1951"
"Joseph McCarthy","Wisconsin","Republican","1952"
"Joseph McCarthy","Wisconsin","Republican","1953"
"Joseph McCarthy","Wisconsin","Republican","1954"
"Joseph McCarthy","Wisconsin","Republican","1955"
"Joseph McCarthy","Wisconsin","Republican","1956"
"Joseph McCarthy","Wisconsin","Republican","1957"
"John L. McClellan","Arkansas","Democratic","1945"
"John L. McClellan","Arkansas","Democratic","1946"
"John L. McClellan","Arkansas","Democratic","1947"
"John L. McClellan","Arkansas","Democratic","1948"
"John L. McClellan","Arkansas","Democratic","1949"
"John L. McClellan","Arkansas","Democratic","1950"
"John L. McClellan","Arkansas","Democratic","1951"
"John L. McClellan","Arkansas","Democratic","1952"
"John L. McClellan","Arkansas","Democratic","1953"
"John L. McClellan","Arkansas","Democratic","1954"
"John L. McClellan","Arkansas","Democratic","1955"
"John L. McClellan","Arkansas","Democratic","1956"
"John L. McClellan","Arkansas","Democratic","1957"
"John L. McClellan","Arkansas","Democratic","1958"
"John L. McClellan","Arkansas","Democratic","1959"
"John L. McClellan","Arkansas","Democratic","1960"
"John L. McClellan","Arkansas","Democratic","1961"
"John L. McClellan","Arkansas","Democratic","1962"
"John L. McClellan","Arkansas","Democratic","1963"
"John L. McClellan","Arkansas","Democratic","1964"
"John L. McClellan","Arkansas","Democratic","1965"
"John L. McClellan","Arkansas","Democratic","1966"
"John L. McClellan","Arkansas","Democratic","1967"
"John L. McClellan","Arkansas","Democratic","1968"
"John L. McClellan","Arkansas","Democratic","1969"
"John L. McClellan","Arkansas","Democratic","1970"
"John L. McClellan","Arkansas","Democratic","1971"
"John L. McClellan","Arkansas","Democratic","1972"
"John L. McClellan","Arkansas","Democratic","1973"
"John L. McClellan","Arkansas","Democratic","1974"
"John L. McClellan","Arkansas","Democratic","1975"
"John L. McClellan","Arkansas","Democratic","1976"
"John L. McClellan","Arkansas","Democratic","1977"
"James A. McClure","Idaho","Republican","1973"
"James A. McClure","Idaho","Republican","1974"
"James A. McClure","Idaho","Republican","1975"
"James A. McClure","Idaho","Republican","1976"
"James A. McClure","Idaho","Republican","1977"
"James A. McClure","Idaho","Republican","1978"
"James A. McClure","Idaho","Republican","1979"
"James A. McClure","Idaho","Republican","1980"
"James A. McClure","Idaho","Republican","1981"
"James A. McClure","Idaho","Republican","1982"
"James A. McClure","Idaho","Republican","1983"
"James A. McClure","Idaho","Republican","1984"
"James A. McClure","Idaho","Republican","1985"
"Ernest W. McFarland","Arizona","Democratic","1945"
"Ernest W. McFarland","Arizona","Democratic","1946"
