"BRANCHES","ID","New_Char","STNAME","TOTAL","YEAR"
48,"CB_1972_NE",,"Nebraska",440,"1972"
79,"CB_1972_NH",,"New Hampshire",76,"1972"
1173,"CB_1972_NJ",,"New Jersey",210,"1972"
150,"CB_1972_NM",,"New Mexico",71,"1972"
93,"CB_1972_NV",,"Nevada",8,"1972"
2690,"CB_1972_NY",,"New York",278,"1972"
1449,"CB_1972_OH",,"Ohio",503,"1972"
84,"CB_1972_OK",,"Oklahoma",436,"1972"
381,"CB_1972_OR",,"Oregon",43,"1972"
1917,"CB_1972_PA",,"Pennsylvania",430,"1972"
189,"CB_1972_PR",,"Puerto Rico",9,"1972"
177,"CB_1972_RI",,"Rhode Island",14,"1972"
499,"CB_1972_SC",,"South Carolina",94,"1972"
102,"CB_1972_SD",,"South Dakota",159,"1972"
594,"CB_1972_TN",,"Tennessee",310,"1972"
95,"CB_1972_TX",,"Texas",1231,"1972"
160,"CB_1972_UT",,"Utah",52,"1972"
955,"CB_1972_VA",,"Virginia",256,"1972"
29,"CB_1972_VI",,"Virgin Islands Of The U.S.",2,"1972"
98,"CB_1972_VT",,"Vermont",40,"1972"
611,"CB_1972_WA",,"Washington",88,"1972"
296,"CB_1972_WI",,"Wisconsin",608,"1972"
8,"CB_1972_WV",,"West Virginia",203,"1972"
2,"CB_1972_WY",,"Wyoming",71,"1972"
65,"CB_1971_AK",,"Alaska",10,"1971"
303,"CB_1971_AL",,"Alabama",273,"1971"
179,"CB_1971_AR",,"Arkansas",251,"1971"
3,"CB_1971_AS",,"American Samoa",0,"1971"
347,"CB_1971_AZ",,"Arizona",13,"1971"
3171,"CB_1971_CA",,"California",144,"1971"
29,"CB_1971_CO",,"Colorado",235,"1971"
469,"CB_1971_CT",,"Connecticut",62,"1971"
108,"CB_1971_DC",,"District Of Columbia",14,"1971"
99,"CB_1971_DE",,"Delaware",18,"1971"
43,"CB_1971_FL",,"Florida",534,"1971"
28,"CB_1971_FM",,"Federated States of Micronesia",0,"1971"
412,"CB_1971_GA",,"Georgia",428,"1971"
10,"CB_1971_GU",,"Guam",0,"1971"
140,"CB_1971_HI",,"Hawaii",7,"1971"
329,"CB_1971_IA",,"Iowa",658,"1971"
165,"CB_1971_ID",,"Idaho",24,"1971"
123,"CB_1971_IL",,"Illinois",1131,"1971"
671,"CB_1971_IN",,"Indiana",405,"1971"
73,"CB_1971_KS",,"Kansas",602,"1971"
361,"CB_1971_KY",,"Kentucky",339,"1971"
414,"CB_1971_LA",,"Louisiana",234,"1971"
779,"CB_1971_MA",,"Massachusetts",154,"1971"
567,"CB_1971_MD",,"Maryland",112,"1971"
237,"CB_1971_ME",,"Maine",40,"1971"
1252,"CB_1971_MI",,"Michigan",329,"1971"
17,"CB_1971_MN",,"Minnesota",728,"1971"
100,"CB_1971_MO",,"Missouri",666,"1971"
369,"CB_1971_MS",,"Mississippi",183,"1971"
10,"CB_1971_MT",,"Montana",143,"1971"
1217,"CB_1971_NC",,"North Carolina",94,"1971"
70,"CB_1971_ND",,"North Dakota",166,"1971"
45,"CB_1971_NE",,"Nebraska",438,"1971"
69,"CB_1971_NH",,"New Hampshire",72,"1971"
1097,"CB_1971_NJ",,"New Jersey",209,"1971"
140,"CB_1971_NM",,"New Mexico",68,"1971"
89,"CB_1971_NV",,"Nevada",8,"1971"
2547,"CB_1971_NY",,"New York",285,"1971"
1370,"CB_1971_OH",,"Ohio",512,"1971"
71,"CB_1971_OK",,"Oklahoma",435,"1971"
359,"CB_1971_OR",,"Oregon",44,"1971"
1824,"CB_1971_PA",,"Pennsylvania",447,"1971"
187,"CB_1971_PR",,"Puerto Rico",8,"1971"
171,"CB_1971_RI",,"Rhode Island",11,"1971"
459,"CB_1971_SC",,"South Carolina",99,"1971"
100,"CB_1971_SD",,"South Dakota",159,"1971"
527,"CB_1971_TN",,"Tennessee",307,"1971"
